id,label,lat,lng,indegree,outdegree,closnesscentrality,betweenesscentrality
SPM," Saint Pierre and Miquelon",46.8852,-56.3159,0,0,0.0,0.0
SRB," Serbia",44.016521,21.005859,27,28,0.5271739130434783,1.3955453448696772E-4
FRA," France",46.227638,2.213749,134,135,0.766798418972332,0.038671144237141845
LTU," Lithuania",55.169438,23.881275,23,22,0.5243243243243243,1.0631056046746771E-4
RWA," Rwanda",-1.940278,29.873888,26,29,0.5286103542234333,8.954235245882043E-4
ZMB," Zambia",-13.133897,27.849332,15,13,0.5038961038961038,1.3370225923649943E-4
GMB," Gambia",13.443182,-15.310139,6,8,0.49743589743589745,4.2177304553171235E-6
WLF," Wallis and Futuna Islands",-14.2938,-178.1165,0,0,0.0,0.0
FRO," Faeroe Islands",61.892635,-6.911806,0,0,0.0,0.0
GTM," Guatemala",15.783471,-90.230759,17,18,0.5065274151436031,1.688781842334914E-4
DNK," Denmark",56.26392,9.501785,49,50,0.5705882352941176,0.0015603787402332654
MSR," Montserrat",16.742498,-62.187366,0,0,0.0,0.0
AUS," Australia",-25.274398,133.775136,104,109,0.6953405017921147,0.026945952440502113
AUT," Austria",47.516231,14.550072,56,52,0.5756676557863502,0.001088119756143363
SJM," Svalbard and Jan Mayen Islands",77.553604,23.670272,0,0,0.0,0.0
IMY," Isle of Man",54.236107,-4.548056,0,0,0.0,0.0
EUR," Europe",54.525961,15.255119,123,119,0.7211895910780669,0.018275993058489006
PLW," Palau",7.51498,134.58252,2,3,0.43595505617977526,0.0
KEN," Kenya",-0.023559,37.906193,53,54,0.5756676557863502,0.0038971448607145833
TUR," Turkey",38.963745,35.243322,107,110,0.697841726618705,0.01043712154665938
ALB," Albania",41.153332,20.168331,24,24,0.5243243243243243,1.2437152904741023E-4
OMN," Oman",21.473533,55.975413,31,34,0.5344352617079889,2.1828345088133872E-4
TUV," Tuvalu",-7.47842,178.679924,0,0,0.0,0.0
ALA," Aland Islands",60.178525,19.91561,0,0,0.0,0.0
BRN," Brunei Darussalam",4.535277,114.727669,21,20,0.5187165775401069,4.113286127000844E-5
TUN," Tunisia",33.886917,9.537499,33,32,0.5359116022099447,1.3419387476961136E-4
RUS," Russia",61.52401,105.318756,113,112,0.7028985507246377,0.011319190667295592
MTN," Montenegro",42.708678,19.37439,0,0,0.0,0.0
BRB," Barbados",13.193887,-59.543198,9,9,0.49743589743589745,3.8189242583098665E-5
BRA," Brazil",-14.235004,-51.92528,86,84,0.6381578947368421,0.007109120752483548
CIV," Cte Ivoire (Ivory Coast)",5.345317,-4.024429,19,16,0.5105263157894737,3.448843658109181E-4
GNQ," Equatorial Guinea",1.650801,10.267895,5,4,0.4532710280373832,3.748428259060406E-5
USA," United States",37.09024,-95.712891,178,176,0.9150943396226415,0.1337198007543949
QAT," Qatar",25.354826,51.183884,58,53,0.565597667638484,9.69825761411758E-4
WSM," Samoa",-13.759029,-172.104629,8,9,0.49363867684478374,2.1078453245366088E-4
AZE," Azerbaijan",40.143105,47.576927,35,40,0.5480225988700564,4.8686134139298403E-4
GNB," Guinea-Bissau",11.803749,-15.180413,5,4,0.3872255489021956,1.3951355429416707E-5
SWZ," Swaziland",-26.522503,31.465866,3,5,0.43400447427293065,2.0438221880742976E-5
TON," Tonga",-21.178986,-175.198242,6,6,0.4987146529562982,6.249812599716032E-6
CAN," Canada",56.130366,-106.346771,105,115,0.7106227106227107,0.020929250143276526
UKR," Ukraine",48.379433,31.16558,69,69,0.60625,0.00940841292326128
KOR," Korea Republic of (Seoul)",37.566535,126.977969,72,65,0.5969230769230769,0.0019146280884822467
AIA," Anguilla",18.220554,-63.068615,0,1,0.47911547911547914,0.0
CAF," Central African Republic",6.611111,20.939444,14,11,0.45754716981132076,4.2941365630272285E-4
CHE," Switzerland",46.818188,8.227512,77,81,0.6319218241042345,0.0037186961065139913
CYP," Cyprus",35.126413,33.429859,23,22,0.521505376344086,5.586293450322972E-5
BIH," Bosnia and Herzegovina",43.915886,17.679076,0,0,0.0,0.0
SGP," Singapore",1.352083,103.819836,53,51,0.5722713864306784,0.001287206637356648
SOM," Somalia",5.152149,46.199616,37,39,0.5464788732394367,0.0015117155024558194
UZB," Uzbekistan",41.377491,64.585262,24,23,0.5201072386058981,1.0177884761982563E-4
CMR," Cameroon",7.369722,12.354722,14,16,0.5091863517060368,2.9523784712583634E-4
POL," Poland",51.919438,19.145136,65,66,0.6006191950464397,0.002047393491122615
KWT," Kuwait",29.31166,47.481766,41,41,0.5480225988700564,3.993395507261384E-4
ERI," Eritrea",15.179384,39.782334,15,14,0.5065274151436031,4.651528216617325E-5
GAB," Gabon",-0.803689,11.609444,7,7,0.4961636828644501,6.518239795576739E-5
CYM," Cayman Islands",19.3133,-81.2546,6,4,0.48258706467661694,6.1804377280567756E-6
ARE," United Arab Emirates",23.424076,53.847818,58,57,0.5825825825825826,0.0013756684123075891
EST," Estonia",58.595272,25.013607,23,23,0.5173333333333333,9.529882994319272E-5
MWI," Malawi",-13.254308,34.301525,12,10,0.49489795918367346,8.97325421149965E-5
ESP," Spain",40.463667,-3.74922,99,98,0.6689655172413793,0.019391300501551623
IRQ," Iraq",33.223191,43.679291,71,71,0.61198738170347,0.0019216572084550024
SLV," El Salvador",13.794185,-88.89653,10,14,0.5,2.3362270302854685E-5
MLI," Mali",17.570692,-3.996166,31,29,0.5344352617079889,8.552529242878749E-4
IRL," Ireland",53.142367,-7.692054,65,64,0.5987654320987654,0.0017713352308238053
IRN," Iran",32.427908,53.688046,89,87,0.6402640264026402,0.00548758461938934
ABW," Aruba",12.52111,-69.968338,2,2,0.4801980198019802,0.0
SLE," Sierra Leone",8.460555,-11.779889,8,7,0.49489795918367346,3.755016722715948E-5
PAN," Panama",8.537981,-80.782127,35,34,0.5403899721448467,9.110705606437385E-4
SDN," Sudan",12.862807,30.217636,47,44,0.5574712643678161,0.002710037170123069
SLB," Solomon Islands",-9.64571,160.156194,4,3,0.41541755888650966,3.28207493858356E-5
NZL," New Zealand",-40.900557,174.885971,53,49,0.5705882352941176,0.008052504366135423
MCO," Monaco",43.738418,7.424616,17,24,0.5300546448087432,3.945584162627268E-5
ITA," Italy",41.87194,12.56738,109,105,0.6855123674911661,0.014518731623098375
JPN," Japan",36.204824,138.252924,110,106,0.6855123674911661,0.020167312382078403
KGZ," Kyrgyzstan",41.20438,74.766098,19,20,0.5159574468085106,3.8490383033864865E-5
UGA," Uganda",1.373333,32.290275,38,36,0.5449438202247191,0.0011478219881863238
NCL," New Caledonia",-20.904305,165.618042,0,0,0.0,0.0
PNG," Papua New Guinea",-6.314993,143.95555,11,10,0.49743589743589745,2.1660203180692006E-4
ARG," Argentina",-38.416097,-63.616672,49,55,0.5791044776119403,0.0012461430008099557
SWE," Sweden",60.128161,18.643501,67,73,0.6158730158730159,0.0026386639069701148
BHS," Bahamas",25.03428,-77.39628,10,10,0.5025906735751295,5.7054949136273184E-5
BHR," Bahrain",26.0667,50.5577,23,24,0.5145888594164456,3.7813143226846885E-5
ARM," Armenia",40.069099,45.038189,33,33,0.5373961218836565,2.0444890143812185E-4
NRU," Nauru",-0.522778,166.931503,5,4,0.48621553884711777,1.0017805584308046E-5
CUB," Cuba",21.521757,-77.781167,56,48,0.563953488372093,0.0020541613407571214
