id,label,lat,lng,weighted indegree,weighted outdegree
STP," Sao Tome and Principe",0.18636,6.613081,-0.533485883,0.0
MDG," Madagascar",-18.766947,46.869107,-1.4483151340000007,-0.9776718200000007
ECU," Ecuador",-1.831239,-78.183406,-40.188864253999995,-45.55427849
SEN," Senegal",14.497401,-14.452362,-7.534059591000003,-2.200826998
ESH," Western Sahara",24.215527,-12.885834,0.0,0.0
MDV," Maldives",1.977228,73.536101,-137.94671084799995,-138.12083102199998
ASM," American Samoa",-14.30164,-170.696181,0.0,0.0
SPM," Saint Pierre and Miquelon",46.8852,-56.3159,0.0,0.0
SRB," Serbia",44.016521,21.005859,-13.065157482000004,-32.634338463
FRA," France",46.227638,2.213749,-213.37087120899992,-212.58232036800004
LTU," Lithuania",55.169438,23.881275,2.7697955450000005,-0.5208022600000001
RWA," Rwanda",-1.940278,29.873888,-29.090107085000003,-11.881474525
ZMB," Zambia",-13.133897,27.849332,11.953331951999997,3.1245823829999986
GMB," Gambia",13.443182,-15.310139,-12.719672577,-12.670047498
WLF," Wallis and Futuna Islands",-14.2938,-178.1165,0.0,0.0
FRO," Faeroe Islands",61.892635,-6.911806,0.0,0.0
GTM," Guatemala",15.783471,-90.230759,-34.905191378,-17.825887136
DNK," Denmark",56.26392,9.501785,-39.436677032999995,-48.896251248999995
MSR," Montserrat",16.742498,-62.187366,0.0,0.0
AUS," Australia",-25.274398,133.775136,-132.519867865,-144.83869108500008
AUT," Austria",47.516231,14.550072,-72.44048990799999,-85.088222844
SJM," Svalbard and Jan Mayen Islands",77.553604,23.670272,0.0,0.0
IMY," Isle of Man",54.236107,-4.548056,0.0,0.0
EUR," Europe",54.525961,15.255119,-135.20191397900004,-143.86381010999997
PLW," Palau",7.51498,134.58252,1.703877611,-0.4578686820000001
KEN," Kenya",-0.023559,37.906193,-54.85016242199999,-56.1843871
TUR," Turkey",38.963745,35.243322,-241.148977638,-224.19736885300003
ALB," Albania",41.153332,20.168331,-67.851239193,-94.504767443
OMN," Oman",21.473533,55.975413,-12.202464588,-18.438876464
TUV," Tuvalu",-7.47842,178.679924,0.0,0.0
ALA," Aland Islands",60.178525,19.91561,0.0,0.0
BRN," Brunei Darussalam",4.535277,114.727669,-1.6375687290000003,3.630000164000001
TUN," Tunisia",33.886917,9.537499,-72.08765888,-55.58051067499999
RUS," Russia",61.52401,105.318756,-197.35811862900013,-189.11410049700012
MTN," Montenegro",42.708678,19.37439,0.0,0.0
BRB," Barbados",13.193887,-59.543198,0.9545380809999995,2.756530052
BRA," Brazil",-14.235004,-51.92528,-92.127729163,-75.176961985
CIV," Cte Ivoire (Ivory Coast)",5.345317,-4.024429,-8.250542854,3.3142667559999994
GNQ," Equatorial Guinea",1.650801,10.267895,1.037890457,5.207365448
USA," United States",37.09024,-95.712891,-244.83428362800007,-236.96592365000004
QAT," Qatar",25.354826,51.183884,-43.24350712199999,-27.935314889000004
WSM," Samoa",-13.759029,-172.104629,1.8986715520000002,3.524867414
AZE," Azerbaijan",40.143105,47.576927,14.86865891,-14.848063816
GNB," Guinea-Bissau",11.803749,-15.180413,3.5703132419999997,-0.1922826150000001
SWZ," Swaziland",-26.522503,31.465866,-2.994754587,-0.1192553629999995
TON," Tonga",-21.178986,-175.198242,0.6854953319999999,11.161957079999999
CAN," Canada",56.130366,-106.346771,-76.886789955,-96.34619873500003
UKR," Ukraine",48.379433,31.16558,-113.94752419099996,-93.94322970699996
KOR," Korea Republic of (Seoul)",37.566535,126.977969,-14.864987367999998,-19.591742911000008
AIA," Anguilla",18.220554,-63.068615,0.0,-0.433184731
CAF," Central African Republic",6.611111,20.939444,-11.603625589999998,-14.364910078
CHE," Switzerland",46.818188,8.227512,-77.16162455199998,-97.11195287899994
CYP," Cyprus",35.126413,33.429859,-30.806236468,-37.35056573799999
BIH," Bosnia and Herzegovina",43.915886,17.679076,0.0,0.0
SGP," Singapore",1.352083,103.819836,-43.139459085000006,-26.888872487999997
SOM," Somalia",5.152149,46.199616,-108.17067811700002,-104.561593902
UZB," Uzbekistan",41.377491,64.585262,-31.365354679999996,-27.848253674
CMR," Cameroon",7.369722,12.354722,-27.45300273299999,-24.317905686000003
POL," Poland",51.919438,19.145136,-63.06039493600001,-67.14662710399999
KWT," Kuwait",29.31166,47.481766,1.7022797289999994,-18.0901084
ERI," Eritrea",15.179384,39.782334,-55.27639161100001,-42.79464913500001
GAB," Gabon",-0.803689,11.609444,-7.127667820999999,-16.657667843
CYM," Cayman Islands",19.3133,-81.2546,-10.694766236,-2.4659320769999997
ARE," United Arab Emirates",23.424076,53.847818,-4.797882277999998,-19.607070706999995
EST," Estonia",58.595272,25.013607,-4.864741928999999,-0.18387777800000027
MWI," Malawi",-13.254308,34.301525,-1.9653611290000002,-16.449085684
ESP," Spain",40.463667,-3.74922,-96.58011032699997,-109.51800164999999
IRQ," Iraq",33.223191,43.679291,-206.21497398599993,-213.86733342199997
SLV," El Salvador",13.794185,-88.89653,-20.496741823,-42.470971041999995
MLI," Mali",17.570692,-3.996166,-52.13929486100001,-53.180956904000006
IRL," Ireland",53.142367,-7.692054,-93.17191550600002,-77.94574292000001
IRN," Iran",32.427908,53.688046,-157.93664137999994,-149.48559273700002
ABW," Aruba",12.52111,-69.968338,-1.914601771,-3.4223884669999998
SLE," Sierra Leone",8.460555,-11.779889,3.6133520180000005,5.897324410000001
PAN," Panama",8.537981,-80.782127,-40.20551937800001,-46.08183534300001
SDN," Sudan",12.862807,30.217636,-81.16835571999998,-85.21959732400002
SLB," Solomon Islands",-9.64571,160.156194,6.2216295829999995,4.5170817450000005
NZL," New Zealand",-40.900557,174.885971,0.15561991499999983,-7.043953328
MCO," Monaco",43.738418,7.424616,-15.255824635,-11.718966207999998
ITA," Italy",41.87194,12.56738,-138.640615977,-110.03560398699997
JPN," Japan",36.204824,138.252924,21.587657340999986,19.968462947000003
KGZ," Kyrgyzstan",41.20438,74.766098,-25.176221444,-14.757409825999996
UGA," Uganda",1.373333,32.290275,-59.113264423,-47.29089203700001
NCL," New Caledonia",-20.904305,165.618042,0.0,0.0
PNG," Papua New Guinea",-6.314993,143.95555,-17.396030406,-21.923539604000002
ARG," Argentina",-38.416097,-63.616672,-38.820438842000016,-51.14753255100001
SWE," Sweden",60.128161,18.643501,-101.72113705299998,-120.016959525
BHS," Bahamas",25.03428,-77.39628,-9.747758868,-16.233096649
BHR," Bahrain",26.0667,50.5577,-31.336816786,-23.141619808999994
ARM," Armenia",40.069099,45.038189,-20.778641487,-13.701252567000003
NRU," Nauru",-0.522778,166.931503,-23.954425287999996,-19.267847416
CUB," Cuba",21.521757,-77.781167,4.628874202000001,-19.532720761999997
